2022.02.08 at 22:04:57 CST INFO  com.sumsec.core.cfg.uitls.SelectC 22 selectFile - select file: G:\GitHubProject\SPATool\FizzBuzz.class
2022.02.08 at 22:04:57 CST INFO  com.sumsec.core.cfg.uitls.SelectC 23 selectFile - 复制Class文件到：G:\GitHubProject\SPATool\datas\cfg\724419741763900
2022.02.08 at 22:04:57 CST INFO  com.sumsec.core.cfg.uitls.SelectC 27 selectFile - 复制成功 G:\GitHubProject\SPATool\datas\cfg\724419741763900\FizzBuzz.class
2022.02.08 at 22:04:57 CST INFO  com.sumsec.core.cfg.Generate 42 DotG - 准备环境 prepare
2022.02.08 at 22:04:57 CST INFO  com.sumsec.core.cfg.uitls.Prepare 20 Envprepare - 检测环境
2022.02.08 at 22:04:57 CST INFO  com.sumsec.core.cfg.uitls.Prepare 25 Envprepare - CFG环境设置完成
2022.02.08 at 22:04:57 CST INFO  com.sumsec.core.cfg.uitls.Prepare 26 Envprepare - CFG Home: G:\GitHubProject\SPATool\datas\cfg\724419741763900
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.Generate 59 DotG - 开始生成cfg图
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.Generate 60 DotG - 生成的文件名为：FizzBuzz
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.Generate 61 DotG - 生成的图类型为：BriefUnitGraph
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.Generate 63 DotG - cfg图生成完成
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 26 isWindowsOS - 当前操作系统为：Windows 10
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 48 RunCmd - 开始生成图片 G:\GitHubProject\SPATool\sootOutput\724419741774400\FizzBuzz void fizzBuzz(int).dot
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 50 RunCmd - 生成图片成功
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 51 RunCmd - 图片路径为：G:\GitHubProject\SPATool\result\724419741772500\G:\GitHubProject\SPATool\sootOutput\724419741774400\FizzBuzz void fizzBuzz(int).png
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 48 RunCmd - 开始生成图片 G:\GitHubProject\SPATool\sootOutput\724419741774400\FizzBuzz void printFizzBuzz(int).dot
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 50 RunCmd - 生成图片成功
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 51 RunCmd - 图片路径为：G:\GitHubProject\SPATool\result\724419741772500\G:\GitHubProject\SPATool\sootOutput\724419741774400\FizzBuzz void printFizzBuzz(int).png
2022.02.08 at 22:04:58 CST INFO  com.sumsec.core.cfg.ImageUtil 29 setImage - iURL: [Ljava.lang.String;@d029fc0
2022.02.08 at 22:04:59 CST ERROR com.sumsec.core.cfg.ImageUtil 37 setImage - 文件不存在
2022.02.08 at 22:04:59 CST INFO  com.sumsec.core.cfg.ImageUtil 29 setImage - iURL: [Ljava.lang.String;@d029fc0
2022.02.08 at 22:05:00 CST ERROR com.sumsec.core.cfg.ImageUtil 37 setImage - 文件不存在
2022.02.08 at 22:12:11 CST INFO  com.sumsec.ui.main 36 start - Application started
2022.02.08 at 22:12:12 CST INFO  com.sumsec.ui.mainController 86 CFGFile - 选择class文件
2022.02.08 at 22:12:24 CST INFO  com.sumsec.ui.mainController 94 CFGFile - 选择的文件名为：FizzBuzz.class
2022.02.08 at 22:12:24 CST INFO  com.sumsec.ui.mainController 95 CFGFile - 选择的文件路径为：G:\GitHubProject\SPATool\FizzBuzz.class
2022.02.08 at 22:12:27 CST INFO  com.sumsec.core.cfg.uitls.SelectC 22 selectFile - select file: G:\GitHubProject\SPATool\FizzBuzz.class
2022.02.08 at 22:12:27 CST INFO  com.sumsec.core.cfg.uitls.SelectC 23 selectFile - 复制Class文件到：G:\GitHubProject\SPATool\datas\cfg\724867879654800
2022.02.08 at 22:12:27 CST INFO  com.sumsec.core.cfg.uitls.SelectC 27 selectFile - 复制成功 G:\GitHubProject\SPATool\datas\cfg\724867879654800\FizzBuzz.class
2022.02.08 at 22:12:27 CST INFO  com.sumsec.core.cfg.Generate 42 DotG - 准备环境 prepare
2022.02.08 at 22:12:27 CST INFO  com.sumsec.core.cfg.uitls.Prepare 20 Envprepare - 检测环境
2022.02.08 at 22:12:27 CST INFO  com.sumsec.core.cfg.uitls.Prepare 25 Envprepare - CFG环境设置完成
2022.02.08 at 22:12:27 CST INFO  com.sumsec.core.cfg.uitls.Prepare 26 Envprepare - CFG Home: G:\GitHubProject\SPATool\datas\cfg\724867879654800
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.Generate 59 DotG - 开始生成cfg图
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.Generate 60 DotG - 生成的文件名为：FizzBuzz
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.Generate 61 DotG - 生成的图类型为：BriefUnitGraph
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.Generate 63 DotG - cfg图生成完成
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.uitls.FindDot 29 findDotCFG - 找到dot文件：G:\GitHubProject\SPATool\datas\sootOutput\724867879666400\FizzBuzz void fizzBuzz(int).dot
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.uitls.FindDot 29 findDotCFG - 找到dot文件：G:\GitHubProject\SPATool\datas\sootOutput\724867879666400\FizzBuzz void printFizzBuzz(int).dot
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 26 isWindowsOS - 当前操作系统为：Windows 10
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 49 RunCmd - 开始生成图片 G:\GitHubProject\SPATool\datas\sootOutput\724867879666400\FizzBuzz void fizzBuzz(int).dot
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 51 RunCmd - 生成图片成功
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 52 RunCmd - 图片路径为：G:\GitHubProject\SPATool\result\724867879664400\G:\GitHubProject\SPATool\datas\sootOutput\724867879666400
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 49 RunCmd - 开始生成图片 G:\GitHubProject\SPATool\datas\sootOutput\724867879666400\FizzBuzz void printFizzBuzz(int).dot
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 51 RunCmd - 生成图片成功
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.uitls.OSUtil 52 RunCmd - 图片路径为：G:\GitHubProject\SPATool\result\724867879664400\G:\GitHubProject\SPATool\datas\sootOutput\724867879666400
2022.02.08 at 22:12:28 CST INFO  com.sumsec.core.cfg.ImageUtil 29 setImage - iURL: [Ljava.lang.String;@70f15225
2022.02.08 at 22:12:29 CST ERROR com.sumsec.core.cfg.ImageUtil 37 setImage - 文件不存在
